=======================================================
THESIS SIMULATION DATA - COMPLETE TEXT DUMP
=======================================================

-------------------------------------------------------
SIMULATION METADATA
-------------------------------------------------------
Layout Name:       Multi-Floor Office
PoE Enabled:       Off
Base Load:         10.0 W
Tx Power Levels:   {1: 5.0, 2: 12.0, 3: 16.0, 4: 20.0} dBm

-------------------------------------------------------
BEST SOLUTIONS FOUND (Min Uncovered, then Min Power)
-------------------------------------------------------
AI (NSGA-II):      Uncovered: 3.0, Power: 30.16W, Interference: 216.0
Random Search:     Uncovered: 3.0, Power: 40.23W, Interference: 230.0
Grid Deployment:   Uncovered: 3.0, Power: 131.30W, Interference: 265.0

-------------------------------------------------------
DATASET: Section 4.1: Pareto Front Solutions (AI + Baselines) (combined_solutions.csv)
-------------------------------------------------------
Method,Uncovered,Power,Interference
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,13.0,20.2,143.0
Random,15.0,20.14,115.0
Random,14.0,20.14,145.0
Random,14.0,30.118,128.0
Random,14.0,20.2,136.0
Random,14.0,20.14,145.0
Random,14.0,20.14,145.0
Random,23.0,20.115,52.0
Random,23.0,20.103,69.0
Random,24.0,20.08,57.0
Random,25.0,20.043,77.0
Random,27.0,20.055,66.0
Random,26.0,20.043,68.0
Random,29.0,20.103,53.0
Random,29.0,20.08,56.0
Random,29.0,20.055,57.0
Random,35.0,10.1,0.0
Random,35.0,10.1,0.0
Random,35.0,10.1,0.0
Random,31.0,20.03,70.0
Random,35.0,10.1,0.0
Random,35.0,10.1,0.0
Random,35.0,10.1,0.0
Random,35.0,10.1,0.0
Random,33.0,20.103,32.0
Random,35.0,10.1,0.0
Random,35.0,10.1,0.0
Random,35.0,10.1,0.0
Random,31.0,20.03,70.0
Random,35.0,10.1,0.0
Random,30.0,20.115,46.0
Random,35.0,10.1,0.0
Random,35.0,10.1,0.0
Random,30.0,20.115,46.0
Random,35.0,10.1,0.0
Random,35.0,10.1,0.0
Random,35.0,10.1,0.0
Random,35.0,10.1,0.0
Random,35.0,10.1,0.0
Random,35.0,10.1,0.0
Random,35.0,10.1,0.0
Random,35.0,10.1,0.0
Random,31.0,20.055,36.0
Random,35.0,10.1,0.0
Random,35.0,10.1,0.0
Random,35.0,10.1,0.0
Random,35.0,10.1,0.0
Random,35.0,10.1,0.0
Random,35.0,10.1,0.0
Random,30.0,20.043,47.0
Random,35.0,10.1,0.0
Random,33.0,20.03,62.0
