Uncovered,Power,Interference
47.0,10.1,0.0
49.0,10.04,0.0
49.0,10.04,0.0
49.0,10.04,0.0
47.0,10.1,0.0
47.0,10.1,0.0
47.0,10.1,0.0
47.0,10.1,0.0
47.0,10.1,0.0
49.0,10.04,0.0
47.0,10.1,0.0
47.0,10.1,0.0
49.0,10.04,0.0
49.0,10.04,0.0
49.0,10.04,0.0
49.0,10.04,0.0
49.0,10.04,0.0
49.0,10.04,0.0
47.0,10.1,0.0
47.0,10.1,0.0
47.0,10.1,0.0
47.0,10.1,0.0
47.0,10.1,0.0
49.0,10.04,0.0
47.0,10.1,0.0
49.0,10.04,0.0
47.0,10.1,0.0
47.0,10.1,0.0
49.0,10.04,0.0
47.0,10.1,0.0
49.0,10.04,0.0
47.0,10.1,0.0
49.0,10.04,0.0
49.0,10.04,0.0
47.0,10.1,0.0
47.0,10.1,0.0
47.0,10.1,0.0
49.0,10.04,0.0
47.0,10.1,0.0
17.0,20.115000000000002,107.0
18.0,20.115000000000002,99.0
18.0,20.115000000000002,99.0
18.0,20.115000000000002,99.0
17.0,20.2,100.0
18.0,20.115000000000002,99.0
18.0,20.115000000000002,99.0
18.0,20.115000000000002,99.0
17.0,20.2,100.0
19.0,20.115000000000002,91.0
22.0,20.103,86.0
23.0,20.103,85.0
20.0,20.103,110.0
21.0,20.14,85.0
8.0,30.155,217.0
4.0,80.266,231.0
4.0,60.176,233.0
4.0,50.161,234.0
4.0,40.339999999999996,239.0
4.0,50.161,234.0
4.0,40.303,242.0
4.0,40.28,248.0
22.0,20.08,147.0
7.0,40.243,219.0
6.0,40.255,226.0
6.0,40.255,226.0
5.0,40.28,229.0
5.0,50.173,227.0
5.0,70.251,226.0
5.0,40.242999999999995,234.0
5.0,40.243,232.0
7.0,40.17,229.0
7.0,40.158,232.0
7.0,40.218,227.0
10.0,30.095,227.0
11.0,30.095,212.0
11.0,30.118000000000002,206.0
12.0,30.143,152.0
12.0,30.203000000000003,144.0
10.0,30.155,184.0
11.0,30.143,165.0
11.0,30.203000000000003,146.0
11.0,30.155,155.0
10.0,30.155,184.0
9.0,30.203000000000003,176.0
9.0,30.215000000000003,157.0
3.0,50.343,240.0
3.0,50.258,243.0
8.0,40.158,214.0
8.0,40.243,207.0
6.0,40.230000000000004,234.0
6.0,40.218,235.0
89.0,10.015,0.0
89.0,10.015,0.0
89.0,10.015,0.0
89.0,10.015,0.0
89.0,10.015,0.0
89.0,10.015,0.0
89.0,10.015,0.0
89.0,10.015,0.0
89.0,10.015,0.0
89.0,10.015,0.0
89.0,10.015,0.0
89.0,10.015,0.0
89.0,10.015,0.0
89.0,10.015,0.0
89.0,10.015,0.0
89.0,10.015,0.0
89.0,10.015,0.0
89.0,10.015,0.0
89.0,10.015,0.0
13.0,20.2,161.0
13.0,30.130000000000003,154.0
15.0,20.14,125.0
15.0,20.14,125.0
15.0,20.14,125.0
15.0,20.14,125.0
14.0,30.118000000000002,153.0
14.0,20.14,168.0
14.0,20.14,168.0
23.0,20.14,77.0
25.0,20.08,75.0
25.0,20.08,75.0
29.0,20.08,69.0
25.0,20.08,75.0
25.0,20.115000000000002,61.0
29.0,20.043,112.0
27.0,20.043,115.0
27.0,20.055,104.0
26.0,20.055,136.0
28.0,20.055,84.0
32.0,20.03,142.0
33.0,20.03,131.0
34.0,20.03,130.0
32.0,20.055,43.0
31.0,20.103,48.0
30.0,20.055,68.0
31.0,20.043,71.0
31.0,20.043,71.0
31.0,20.055,49.0
34.0,20.043,57.0
31.0,20.055,49.0
30.0,20.103,49.0
31.0,20.043,71.0
37.0,20.08,41.0
36.0,20.03,45.0
36.0,20.03,45.0
36.0,20.03,45.0
36.0,20.103,33.0
38.0,20.043,12.0
38.0,20.018,38.0
39.0,20.018,15.0
39.0,20.018,15.0
142.0,10.003,0.0
142.0,10.003,0.0
142.0,10.003,0.0
142.0,10.003,0.0
142.0,10.003,0.0
142.0,10.003,0.0
142.0,10.003,0.0
142.0,10.003,0.0
142.0,10.003,0.0
142.0,10.003,0.0
142.0,10.003,0.0
142.0,10.003,0.0
142.0,10.003,0.0
142.0,10.003,0.0
142.0,10.003,0.0
142.0,10.003,0.0
142.0,10.003,0.0
142.0,10.003,0.0
142.0,10.003,0.0
142.0,10.003,0.0
142.0,10.003,0.0
142.0,10.003,0.0
142.0,10.003,0.0
142.0,10.003,0.0
142.0,10.003,0.0
142.0,10.003,0.0
142.0,10.003,0.0
142.0,10.003,0.0
142.0,10.003,0.0
142.0,10.003,0.0
142.0,10.003,0.0
142.0,10.003,0.0
142.0,10.003,0.0
142.0,10.003,0.0
142.0,10.003,0.0
142.0,10.003,0.0
142.0,10.003,0.0
57.0,10.04,0.0
57.0,10.04,0.0
57.0,10.04,0.0
57.0,10.04,0.0
57.0,10.04,0.0
57.0,10.04,0.0
57.0,10.04,0.0
57.0,10.04,0.0
57.0,10.04,0.0
57.0,10.04,0.0
57.0,10.04,0.0
57.0,10.04,0.0
57.0,10.04,0.0
57.0,10.04,0.0
57.0,10.04,0.0
57.0,10.04,0.0
57.0,10.04,0.0
57.0,10.04,0.0
57.0,10.04,0.0
57.0,10.04,0.0
57.0,10.04,0.0
57.0,10.04,0.0
57.0,10.04,0.0
57.0,10.04,0.0
57.0,10.04,0.0
57.0,10.04,0.0
50.0,10.1,0.0
50.0,10.1,0.0
50.0,10.1,0.0
50.0,10.1,0.0
